SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,1
2,1,0,0,3
2,3,4,3,2
2,4,6,0,2
2,2,4,0,1
2,2,2,0,3
2,2,2,0,2
2,2,3,0,2
2,3,2,2,1
2,3,2,0,2
2,4,4,0,2
2,4,3,0,3
2,3,3,0,2
2,2,2,0,1
2,2,4,0,3
2,2,3,0,2
2,3,3,0,2
2,4,5,0,1
2,4,4,0,3
2,3,2,0,3
2,2,3,0,1
2,2,2,0,2
2,2,3,0,2
2,3,2,0,2
2,4,5,0,1
2,4,4,0,2
2,3,2,0,4
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,3,0,2
2,4,5,0,2
2,4,4,0,2
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,2
2,3,2,0,1
2,3,2,0,2
2,4,6,0,2
2,4,4,0,2
2,3,2,0,3
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,2,0,2
2,4,4,0,1
2,4,4,0,2
2,3,2,0,3
2,2,2,0,2
2,2,2,0,2
2,2,2,0,2
2,3,3,0,2
2,4,3,0,2
2,4,4,0,2
2,3,2,0,2
2,2,2,0,3
2,2,2,0,2
2,3,3,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,3,4,3,2
2,4,6,0,1
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,2,3,0,2
2,3,2,2,2
2,3,2,0,2
2,4,3,0,2
2,4,5,0,2
2,3,2,0,2
2,2,2,0,2
2,2,2,0,3
2,2,3,0,3
2,3,5,0,2
2,4,4,0,2
2,4,7,0,3
2,3,2,0,3
2,2,2,0,2
2,2,2,0,2
2,2,3,0,2
2,3,3,0,2
2,4,4,0,2
2,4,4,0,2
2,3,3,0,3
2,2,2,0,3
2,2,2,0,2
2,2,3,0,2
2,3,3,0,2
2,4,5,0,2
2,4,4,0,2
2,3,2,0,2
2,2,3,0,2
2,2,2,0,2
2,2,2,0,3
2,2,2,0,2
2,3,2,0,1
2,3,2,0,2
2,4,4,0,1
2,4,4,0,3
2,3,2,0,1
2,2,2,0,3
2,2,3,0,1
2,2,2,0,1
2,3,2,0,1
2,4,4,0,2
2,4,5,0,3
2,3,2,0,3
2,2,2,0,1
2,2,2,0,2
2,2,3,0,1
2,3,2,0,2
2,4,5,0,3
2,4,3,0,2
2,3,2,0,1
2,2,4,0,2
2,2,2,0,2
2,3,2,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,3,12,1,2
2,3,1,0,2
2,3,2,0,2
2,3,2,0,2
2,3,2,0,1
2,4,4,0,1
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,2
2,3,2,2,2
2,3,2,0,2
2,4,4,0,1
2,4,3,0,3
2,3,2,0,2
2,2,2,0,2
2,2,2,0,1
2,2,2,0,1
2,3,2,0,1
2,4,4,0,1
2,4,5,0,1
2,3,2,0,1
2,2,2,0,1
2,2,1,0,2
2,2,3,0,0
2,3,2,0,2
2,4,4,0,2
2,4,3,0,2
2,3,3,0,2
2,2,2,0,2
2,2,2,0,2
2,3,1,0,3
2,3,2,1,3
2,3,3,0,2
2,3,2,0,3
2,1,0,0,1
2,1,0,0,1
2,1,0,0,1
2,1,0,0,1
2,3,2,0,1
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,1
2,1,0,0,3
2,1,0,0,2
2,3,11,1,3
2,3,2,0,1
2,3,2,0,2
2,3,2,0,2
2,3,2,0,1
2,4,4,0,1
2,2,4,0,2
2,2,2,0,2
2,2,2,0,2
2,2,3,0,2
2,3,2,1,3
2,3,2,0,3
2,4,4,0,2
2,4,4,0,1
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,3
2,3,2,0,2
2,4,3,0,2
2,4,4,0,2
2,3,2,0,1
2,2,2,0,1
2,2,1,0,2
2,2,2,0,2
2,3,2,0,1
2,4,4,0,2
2,4,5,0,1
2,3,2,0,2
2,2,2,0,1
2,2,2,0,2
2,3,2,0,2
2,3,1,2,2
2,3,2,0,2
2,3,2,0,3
2,1,0,0,1
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,3,2,0,2
2,3,3,2,4
2,3,4,2,2
2,1,0,0,1
2,1,0,0,1
2,1,0,0,3
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,3,6,2,3
2,3,1,0,2
2,3,2,0,1
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,3,20,2,2
2,4,6,3,3
2,3,2,0,1
2,3,1,0,2
2,4,4,4,2
2,3,2,0,2
2,3,2,0,2
2,4,4,9,2
2,3,3,3,3
2,3,3,2,2
2,4,5,0,2
2,2,3,0,2
2,2,2,0,2
2,2,2,0,1
2,2,2,0,2
2,3,2,2,2
2,3,2,0,1
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,3
2,1,0,0,2
2,3,13,2,3
2,3,3,2,2
2,4,6,0,1
2,2,4,0,2
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,3,2,3,2
2,3,2,0,2
2,4,5,0,3
2,4,3,0,2
2,2,3,0,2
2,2,2,0,1
2,3,4,2,2
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,3,3,3,2
2,4,5,0,2
2,2,3,0,3
2,2,2,0,2
2,2,2,0,2
2,3,3,2,2
2,4,4,0,2
2,4,4,0,1
2,2,3,0,2
2,2,2,0,2
2,4,4,0,1
2,4,4,0,1
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,3,0,0
2,2,2,0,2
2,3,2,0,2
2,3,1,0,2
2,4,2,0,3
2,4,4,0,2
2,2,2,0,2
2,2,2,0,1
2,2,2,0,2
2,2,1,0,2
2,3,2,2,3
2,4,3,0,2
2,4,9,0,3
2,3,2,0,1
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,1,0,2
2,4,4,0,3
2,4,4,0,2
2,3,2,0,1
2,2,2,0,2
2,2,2,0,2
2,3,2,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,1
2,1,0,0,1
2,1,0,0,2
2,3,12,2,3
2,4,6,0,2
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,2,3,0,3
2,3,2,2,3
2,3,2,0,1
2,4,4,0,2
2,4,4,0,1
2,3,3,0,2
2,2,2,0,2
2,2,2,0,1
2,2,2,0,1
2,3,2,0,2
2,4,4,0,1
2,4,5,0,1
2,3,2,0,1
2,2,2,0,2
2,2,1,0,2
2,2,2,0,1
2,3,2,0,1
2,4,5,0,1
2,4,3,0,2
2,3,2,0,2
2,2,2,0,1
2,2,2,0,1
2,2,2,0,1
2,3,2,0,2
2,4,4,0,2
2,4,4,0,2
2,3,1,0,3
2,2,1,0,2
2,2,2,0,1
2,2,1,0,2
2,2,2,0,1
2,3,2,0,1
2,3,2,0,1
2,4,4,0,2
2,4,4,0,1
2,3,2,0,2
2,2,1,0,2
2,2,2,0,2
2,2,2,0,1
2,3,2,0,1
2,4,4,0,1
2,4,4,0,1
2,3,2,0,2
2,2,2,0,1
2,2,2,0,1
2,2,2,0,1
2,3,3,0,2
2,4,4,0,1
2,4,4,0,1
2,3,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,2,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,3,4,1,2
2,4,6,0,1
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,2
2,3,2,2,2
2,3,2,0,1
2,4,5,0,1
2,4,4,0,1
2,3,2,0,1
2,2,1,0,2
2,2,1,0,2
2,2,2,0,1
2,3,2,0,2
2,4,3,0,2
2,4,4,0,2
2,3,2,0,1
2,2,2,0,2
2,2,2,0,1
2,2,1,0,2
2,3,1,0,2
2,4,3,0,3
2,4,3,0,2
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,2,0,2
2,4,4,0,2
2,4,5,0,1
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,2,2,0,1
2,3,2,0,2
2,3,1,0,2
2,4,4,0,1
2,4,4,0,1
2,3,2,0,1
2,2,2,0,2
2,2,1,0,2
2,2,2,0,2
2,3,1,0,2
2,4,4,0,2
2,4,4,0,2
2,3,2,0,1
2,2,3,0,0
2,2,2,0,1
2,2,2,0,1
2,3,2,0,2
2,4,3,0,2
2,4,4,0,1
2,3,2,0,1
2,2,2,0,2
2,2,2,0,2
2,3,3,0,1
2,1,0,0,2
2,1,0,0,1
2,1,0,0,1
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,2
2,1,0,0,3
2,3,3,2,2
2,4,5,0,2
2,2,3,0,2
2,2,2,0,2
2,2,2,0,2
2,2,2,0,1
2,3,2,1,3
2,3,2,0,1
2,4,4,0,1
2,4,2,0,3
2,3,2,0,2
2,2,2,0,1
2,2,3,0,1
2,2,2,0,1
2,3,1,0,2
2,4,4,0,2
2,4,4,0,1
2,3,2,0,2
2,2,2,0,2
2,2,2,0,2
2,2,3,0,1
2,3,2,0,2
2,4,4,0,2
2,4,4,0,1
2,3,1,0,2
2,2,1,0,2
2,2,1,0,2
2,2,2,0,1
2,3,2,0,1
2,4,3,0,1
2,4,4,0,1
2,3,2,0,1
2,2,2,0,2
2,2,1,0,2
2,2,2,0,1
2,2,2,0,1
2,3,2,0,2
2,3,2,0,1
2,4,4,0,2
2,4,4,0,1
2,3,1,0,2
2,2,2,0,2
2,2,3,0,0
2,2,2,0,1
2,3,1,0,2
2,4,3,0,2
2,4,4,0,1
2,3,2,0,1
2,2,2,0,1
2,2,2,0,2
2,2,2,0,1
2,3,2,0,1
2,4,3,0,3
2,4,4,0,2
2,3,2,0,2
2,2,2,0,1
2,2,2,0,2
2,3,2,0,2
2,1,0,0,1
2,1,0,0,1
2,1,0,0,2
